"","data_id","iso","event_id_cnty","event_id_no_cnty","day","month","year","time_precision","event_type","sub_event_type","actor1","inter1","actor2","assoc_actor_2","inter2","interaction","region","country","admin1","admin2","admin3","location","latitude","longitude","geo_precision","source","source_scale","notes","fatalities","timestamp","iso3","event_code_per_group","action_group","date","climate","climate_protest"
"1",9607188,826,"GBR5603",5603,28,10,2022,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","Scotland","Aberdeen City","Aberdeen City","Aberdeen",57.1485,-2.0939,1,"Energy Voice","Other","On 28 October 2022, activists from Extinction Rebellion protested outside Equinor's office in Aberdeen against 'the company's Rosebank development following the firm's Q3 results'. [size=no report]",0,1667323234,"GBR",1,"Extinction Rebellion","2022-10-28","Y","Y"
"2",9607199,826,"GBR5633",5633,28,10,2022,1,"Protests","Protest with intervention","Protesters (United Kingdom)",6,"Police Forces of the United Kingdom (2010-)","",1,16,"Europe","United Kingdom","England","Greater London","Kensington and Chelsea","London - Kensington and Chelsea",51.502,-0.1947,1,"Evening Standard","National","On 28 October 2022, activists from Just Stop Oil staged a protest and sprayed paint on a Rolex shop in Knightsbridge in London - Kensington and Chelsea to denounce the government's lack of action on climate and call for the government to halt all new oil and gas licenses. Police forces arrested two protestors. This event was part of a six-week campaign to occupy Westminster in central London. [size=no report]",0,1667323234,"GBR",1,"Just Stop Oil","2022-10-28","Y","Y"
"3",9607201,826,"GBR5606",5606,28,10,2022,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","Scotland","Glasgow City","Glasgow City","Glasgow",55.861,-4.2488,1,"Evening Standard","National","On 28 October 2022, climate activists from Fridays For Future Scotland marched through the city from Kelvin Way to George Square in Glasgow to highlight the 'failure' of the Cop26 summit a year after the event. [size=no report]",0,1667323234,"GBR",1,"FFF: Fridays for Future","2022-10-28","Y","Y"
"4",9607142,826,"GBR5615",5615,27,10,2022,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Greater London","City of London","London - City of London",51.5155,-0.0922,1,"Daily Express (UK)","National","On 27 October 2022, activists from Just Stop Oil blocked off Cannon Street in London - City of London to denounce the government's lack of action on climate and call for the government to halt all new oil and gas licenses. This event was part of a six-week campaign to occupy Westminster in central London. [size=no report]",0,1667323234,"GBR",1,"Just Stop Oil","2022-10-27","Y","Y"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",9607255,826,"GBR5636",5636,26,10,2022,1,"Protests","Protest with intervention","Protesters (United Kingdom)",6,"Police Forces of the United Kingdom (2010-)","",1,16,"Europe","United Kingdom","England","Greater London","Westminster","London - Westminster",51.4973,-0.1372,1,"Irish Examiner","Regional","On 26 October 2022, activists from Just Stop Oil staged a protest and sprayed paint on the facade of Ferrari and Bentley on Berkeley Square and Bruton Street in London - Westminster to denounce the government's lack of action on climate and call for the government to halt all new oil and gas licenses. Police forces arrested two protestors. This event was part of a six-week campaign to occupy Westminster in central London. [size=no report]",0,1667323234,"GBR",1,"Just Stop Oil","2022-10-26","Y","Y"
"8",9607479,826,"GBR5609",5609,26,10,2022,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","West Sussex","Chichester","Chichester",50.8365,-0.7792,1,"Sussex Express","Subnational","On 26 October 2022, residents protested in Chichester to call for a general election following the appointment of the new prime minister. Councilor Sarah Sharp from Green Party also joined the protest. [size=no report]",0,1667323235,"GBR",1,"Green Party (United Kingdom)","2022-10-26","Y","Y"
"9",9607393,826,"GBR5635",5635,25,10,2022,1,"Protests","Protest with intervention","Protesters (United Kingdom)",6,"Police Forces of the United Kingdom (2010-)","",1,16,"Europe","United Kingdom","England","Greater London","Westminster","London - Westminster",51.4973,-0.1372,1,"MyLondon","Subnational","On 25 October 2022, activists from Just Stop Oil blocked off Tufton Street and Horseferry Road in London - Westminster to denounce the government's lack of action on climate and call for the government to halt all new oil and gas licenses. Protestors also threw paint at an alleged fossil fuel lobbyist think tank building. Police forces arrested eight protestors. This event was part of a six-week campaign to occupy Westminster in central London. [size=no report]",0,1667323234,"GBR",1,"Just Stop Oil","2022-10-25","Y","Y"
"10",9607125,826,"GBR5604",5604,24,10,2022,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Cambridgeshire","Cambridge","Cambridge",52.2034,0.1231,1,"Cambridge News","National","On 24 October 2022, environmental activists from Extinction Rebellion blocked off the Schlumberger building entrance with a giant teapot in Cambridge to demonstrate against the actions of Schlumberger and its role in the fossil fuel industry. Protestors demanded that Cambridge University cut its ties with Schlumberger. [size=no report]",0,1667323234,"GBR",1,"Extinction Rebellion","2022-10-24","Y","Y"
"11",9607392,826,"GBR5610",5610,24,10,2022,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Greater London","Westminster","London - Westminster",51.4973,-0.1372,1,"MyLondon","Subnational","On 24 October 2022, dozens of activists from Greenpeace and Fuel Poverty Action occupied the central lobby at the Parliament in London - Westminster urging new PM Rishi Sunak to 'put the welfare of the British people before fossil fuel companies'. Protestors hold a banner saying, 'Chaos costs lives'. [size=dozens]",0,1667323234,"GBR",1,"Greenpeace","2022-10-24","Y","Y"
"12",9607490,826,"GBR5634",5634,24,10,2022,1,"Protests","Protest with intervention","Protesters (United Kingdom)",6,"Police Forces of the United Kingdom (2010-)","",1,16,"Europe","United Kingdom","England","Greater London","Westminster","London - Westminster",51.4973,-0.1372,1,"The Argus","National","On 24 October 2022, activists from Just Stop Oil staged a protest and threw cake on a waxwork of the King at Madame Tussauds in London - Westminster to denounce the government's lack of action on climate and call for the government to halt all new oil and gas licenses. Police forces arrested four protestors. This event was part of a six-week campaign to occupy Westminster in central London. [size=no report]",0,1667323235,"GBR",1,"Just Stop Oil","2022-10-24","Y","Y"
"13",9607391,826,"GBR5632",5632,23,10,2022,1,"Protests","Protest with intervention","Protesters (United Kingdom)",6,"Police Forces of the United Kingdom (2010-)","",1,16,"Europe","United Kingdom","England","Greater London","Camden","London - Camden",51.529,-0.1255,1,"MyLondon","Subnational","On 23 October 2022, activists from Just Stop Oil blocked off Abbey Road in London - Camden to denounce the government's lack of action on climate and call for the government to halt all new oil and gas licenses. Police forces arrested four protestors. This event was part of a six-week campaign to occupy Westminster in central London. [size=no report]",0,1667323234,"GBR",1,"Just Stop Oil","2022-10-23","Y","Y"
"14",9607120,826,"GBR5607",5607,22,10,2022,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","West Yorkshire","Leeds","Leeds",53.7996,-1.5491,1,"Bradford Telegraph And Argus","National","On 22 October 2022, environmental activists from the Friends of the Earth group protested outside Friday's West Yorkshire Combined Authority meeting in Leeds over the pace of actions to combat climate change. [size=no report]",0,1667323234,"GBR",1,"Friends of the Earth","2022-10-22","Y","Y"
"15",9607390,826,"GBR5602",5602,22,10,2022,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Greater London","Westminster","London - Westminster",51.4973,-0.1372,1,"MyLondon","Subnational","On 22 October 2022, three environmental activists from Animal Rebellion staged a protest in a Trafalgar Square fountain in London - Westminster to protest against meat consumption and also in response to a comment from former Home Secretary Suella Braverman that called eco-protestors 'Guardian-eating, tofu-eating, wokerati'. Protestors dyed the fountain green and set up folding chairs and table inside the fountain to eat tofu and read the Guardian newspaper. [size=three]",0,1667323234,"GBR",1,"Animal Rebellion","2022-10-22","Y","Y"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
