"","Year","Age","AgeGroup","Gender","education_level","Income","Income_categories","Urbanicity","HouseholdSize","ChildrenInHousehold","climate_threat","Q3"
"1","2021",94,"65_94","Female","High",1,"Poorest 20%","Rural","5+","Yes",1,2
"2","2021",23,"15_29","Female","Medium",3,"Third 20%","Rural","3_4","Yes",0,3
"3","2021",62,"50_64","Female","Medium",3,"Third 20%","Urban","1_2","Yes",1,1
"4","2021",40,"30_49","Female","High",2,"Second 20%","Rural","3_4","Yes",1,1
"5","2021",50,"50_64","Female","Medium",3,"Third 20%","Rural","1_2","Yes",1,2
"6","2021",46,"30_49","Male","Medium",5,"Richest 20%","Urban","1_2","Yes",1,1
"7","2021",24,"15_29","Female","High",4,"Fourth 20%","Urban","1_2","Yes",1,1
"8","2021",40,"30_49","Female","Medium",2,"Second 20%","Rural","1_2","Yes",1,2
"9","2021",67,"65_94","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"10","2021",65,"65_94","Male","Medium",2,"Second 20%","Urban","3_4","Yes",1,1
"11","2021",66,"65_94","Female","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"12","2021",51,"50_64","Female","Medium",3,"Third 20%","Urban","1_2","Yes",1,1
"13","2021",76,"65_94","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"14","2021",100,NA,"Male","High",3,"Third 20%","Rural","1_2","Yes",1,1
"15","2021",40,"30_49","Male","Medium",1,"Poorest 20%","Urban","1_2","Yes",1,2
"16","2021",52,"50_64","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"17","2021",44,"30_49","Male","Medium",5,"Richest 20%","Urban","1_2","Yes",1,2
"18","2021",54,"50_64","Male","Medium",4,"Fourth 20%","Urban","3_4","Yes",1,1
"19","2021",50,"50_64","Female","High",4,"Fourth 20%","Rural","1_2","Yes",1,2
"20","2021",67,"65_94","Female","High",3,"Third 20%","Rural","1_2","Yes",1,1
"21","2021",40,"30_49","Female","High",5,"Richest 20%","Urban","3_4","Yes",1,1
"22","2021",76,"65_94","Male","High",3,"Third 20%","Rural","1_2","Yes",1,2
"23","2021",49,"30_49","Female","High",3,"Third 20%","Rural","3_4","Yes",1,1
"24","2021",65,"65_94","Male","Medium",2,"Second 20%","Rural","1_2","Yes",1,2
"25","2021",87,"65_94","Female","Low",2,"Second 20%","Rural","5+","Yes",0,3
"26","2021",69,"65_94","Female","High",4,"Fourth 20%","Urban","1_2","Yes",1,1
"27","2021",52,"50_64","Female","Medium",3,"Third 20%","Rural","3_4","Yes",1,2
"28","2021",71,"65_94","Female","High",1,"Poorest 20%","Rural","1_2","Yes",1,2
"29","2021",72,"65_94","Male","Medium",5,"Richest 20%","Urban","1_2","Yes",1,1
"30","2021",52,"50_64","Female","Medium",5,"Richest 20%","Urban","1_2","Yes",1,1
"31","2021",71,"65_94","Male","High",5,"Richest 20%","Rural","1_2","Yes",1,2
"32","2021",80,"65_94","Female","Medium",1,"Poorest 20%","Urban","1_2","Yes",1,1
"33","2021",61,"50_64","Female","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,2
"34","2021",42,"30_49","Female","High",2,"Second 20%","Rural","3_4","Yes",1,2
"35","2021",67,"65_94","Female","Medium",3,"Third 20%","Rural","1_2","Yes",1,1
"36","2021",68,"65_94","Female","Medium",2,"Second 20%","Rural","1_2","Yes",1,2
"37","2021",41,"30_49","Female","High",4,"Fourth 20%","Urban","1_2","Yes",1,1
"38","2021",38,"30_49","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"39","2021",65,"65_94","Female","High",3,"Third 20%","Urban","1_2","Yes",1,1
"40","2021",43,"30_49","Male","Medium",5,"Richest 20%","Rural","1_2","Yes",1,1
"41","2021",58,"50_64","Female","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"42","2021",68,"65_94","Male","High",2,"Second 20%","Urban","3_4","Yes",1,1
"43","2021",69,"65_94","Male","Medium",3,"Third 20%","Rural","1_2","Yes",1,1
"44","2021",57,"50_64","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,2
"45","2021",34,"30_49","Female","High",4,"Fourth 20%","Urban","1_2","Yes",1,2
"46","2021",25,"15_29","Male","High",4,"Fourth 20%","Rural","3_4","Yes",1,1
"47","2021",100,NA,"Female","Medium",4,"Fourth 20%","Urban","1_2","Yes",1,1
"48","2021",50,"50_64","Female","High",1,"Poorest 20%","Urban","5+","Yes",0,3
"49","2021",30,"30_49","Male","High",3,"Third 20%","Rural","1_2","Yes",1,1
"50","2021",17,"15_29","Male","Medium",1,"Poorest 20%","Urban","5+","Yes",0,3
"51","2021",54,"50_64","Female","Medium",2,"Second 20%","Urban","5+","Yes",1,1
"52","2021",51,"50_64","Female","Medium",1,"Poorest 20%","Rural","3_4","Yes",1,1
"53","2021",87,"65_94","Female","Low",4,"Fourth 20%","Rural","1_2","Yes",0,3
"54","2021",78,"65_94","Female","Medium",2,"Second 20%","Urban","1_2","Yes",1,1
"55","2021",55,"50_64","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,2
"56","2021",72,"65_94","Male","High",4,"Fourth 20%","Urban","1_2","Yes",1,1
"57","2021",46,"30_49","Male","High",3,"Third 20%","Rural","1_2","Yes",0,98
"58","2021",38,"30_49","Male","Medium",3,"Third 20%","Urban","1_2","Yes",1,1
"59","2021",67,"65_94","Male","Medium",1,"Poorest 20%","Rural","3_4","Yes",1,2
"60","2021",62,"50_64","Male","High",3,"Third 20%","Rural","1_2","Yes",1,2
"61","2021",34,"30_49","Female","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"62","2021",33,"30_49","Male","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"63","2021",66,"65_94","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,2
"64","2021",48,"30_49","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,2
"65","2021",18,"15_29","Female","Low",2,"Second 20%","Rural","1_2","Yes",1,1
"66","2021",69,"65_94","Male","Medium",3,"Third 20%","Urban","3_4","Yes",1,1
"67","2021",45,"30_49","Male","Medium",2,"Second 20%","Urban","3_4","Yes",1,1
"68","2021",27,"15_29","Male","Medium",1,"Poorest 20%","Urban","1_2","Yes",1,1
"69","2021",65,"65_94","Male","High",1,"Poorest 20%","Rural","3_4","Yes",1,1
"70","2021",56,"50_64","Female","High",1,"Poorest 20%","Urban","1_2","Yes",1,1
"71","2021",61,"50_64","Female","Medium",1,"Poorest 20%","Rural","3_4","Yes",1,1
"72","2021",33,"30_49","Male","High",5,"Richest 20%","Urban","3_4","Yes",1,1
"73","2021",36,"30_49","Male","Medium",3,"Third 20%","Urban","1_2","Yes",1,2
"74","2021",56,"50_64","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"75","2021",80,"65_94","Female","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,1
"76","2021",64,"50_64","Female","Medium",3,"Third 20%","Rural","1_2","Yes",1,1
"77","2021",63,"50_64","Female","High",3,"Third 20%","Rural","1_2","Yes",1,2
"78","2021",47,"30_49","Female","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"79","2021",44,"30_49","Female","Medium",2,"Second 20%","Rural","1_2","Yes",1,1
"80","2021",59,"50_64","Female","Medium",2,"Second 20%","Rural","3_4","Yes",1,1
"81","2021",25,"15_29","Male","Medium",5,"Richest 20%","Rural","1_2","Yes",1,1
"82","2021",55,"50_64","Female","High",1,"Poorest 20%","Urban","3_4","Yes",1,1
"83","2021",48,"30_49","Male","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"84","2021",40,"30_49","Male","Medium",4,"Fourth 20%","Rural","3_4","Yes",1,1
"85","2021",50,"50_64","Female","High",2,"Second 20%","Rural","3_4","Yes",1,1
"86","2021",51,"50_64","Male","High",2,"Second 20%","Rural","3_4","Yes",1,1
"87","2021",39,"30_49","Male","Medium",5,"Richest 20%","Rural","1_2","Yes",1,1
"88","2021",76,"65_94","Female","High",4,"Fourth 20%","Urban","1_2","Yes",1,1
"89","2021",58,"50_64","Female","Low",2,"Second 20%","Rural","1_2","Yes",1,2
"90","2021",72,"65_94","Female","High",3,"Third 20%","Urban","1_2","Yes",1,1
"91","2021",55,"50_64","Male","Low",1,"Poorest 20%","Rural","1_2","Yes",1,2
"92","2021",65,"65_94","Male","Medium",4,"Fourth 20%","Urban","1_2","Yes",1,1
"93","2021",45,"30_49","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,2
"94","2021",70,"65_94","Male","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"95","2021",66,"65_94","Female","Medium",4,"Fourth 20%","Urban","1_2","Yes",0,3
"96","2021",78,"65_94","Male","High",3,"Third 20%","Urban","1_2","Yes",1,2
"97","2021",43,"30_49","Male","High",2,"Second 20%","Urban","1_2","Yes",1,2
"98","2021",68,"65_94","Female","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,1
"99","2021",42,"30_49","Male","High",4,"Fourth 20%","Urban","1_2","Yes",1,1
"100","2021",42,"30_49","Female","High",4,"Fourth 20%","Rural","1_2","Yes",1,1
"101","2021",50,"50_64","Male","Medium",3,"Third 20%","Urban","1_2","Yes",1,1
"102","2021",70,"65_94","Female","High",2,"Second 20%","Rural","3_4","Yes",1,1
"103","2021",25,"15_29","Male","Medium",1,"Poorest 20%","Rural","3_4","Yes",1,1
"104","2021",74,"65_94","Male","Medium",1,"Poorest 20%","Rural","1_2","Yes",1,2
"105","2021",27,"15_29","Male","Medium",2,"Second 20%","Rural","1_2","Yes",1,1
"106","2021",70,"65_94","Male","Medium",2,"Second 20%","Urban","3_4","Yes",1,1
"107","2021",51,"50_64","Male","High",5,"Richest 20%","Rural","3_4","Yes",1,1
"108","2021",64,"50_64","Male","Medium",1,"Poorest 20%","Urban","5+","Yes",1,1
"109","2021",62,"50_64","Female","Medium",2,"Second 20%","Urban","1_2","Yes",1,2
"110","2021",35,"30_49","Female","High",3,"Third 20%","Rural","3_4","Yes",1,2
