Opinion,Table,All persons total,North East,North West,Yorkshire and the Humberside,East Midlands,West Midlands,East of England,London,South East,South West
Very positive,1,2,2,1,1,2,4,0,1,2,1
Somewhat positive,1,8,9,11,8,8,7,7,7,7,7
Neither positive nor negative,1,27,28,25,29,31,31,27,18,26,27
Somewhat negative,1,43,49,46,39,36,42,42,42,44,46
Very negative,1,21,12,16,23,23,16,24,32,21,19
Somewhat worried,2,44,50,47,45,41,37,46,38,43,50
Neither worried nor unworried,2,19,23,19,24,23,29,16,12,15,19
Somewhat unworried,2,3,1,5,3,2,3,2,4,3,2
Not at all worried,2,3,4,3,1,3,4,3,2,2,2
Somewhat anxious,3,34,36,30,34,25,34,33,32,38,34
Neither anxious nor unanxious,3,37,36,42,36,40,36,38,32,36,36
Somewhat unanxious,3,4,5,3,4,6,3,5,4,3,6
Not at all anxious,3,16,18,18,17,19,19,14,14,15,15
I think large polluters should change before individuals,4,33,30,41,39,25,29,30,37,31,39
I do not think eco-friendly alternatives are as good,4,8,12,9,7,4,10,2,3,10,9
It is too expensive to make changes,4,21,19,21,18,32,26,13,15,28,22
I do not have the time to make changes,4,4,..,4,..,7,..,..,..,7,5
I do not know how to make changes ,4,20,18,16,25,33,15,26,9,16,13
I do not feel it is my personal responsibility,4,5,3,10,4,7,2,4,..,..,6
I do not think the changes I make will have any effect on climate change,4,33,26,28,41,25,31,26,36,32,37
I do not need to make changes because the effects of climate change are exaggerated,4,5,7,2,7,..,10,6,6,4,4
I am not interested in making changes,4,14,24,8,12,..,12,12,31,11,17
Other,4,15,6,21,10,14,13,19,11,13,14
