,*There are some repreats due to double spacing etc ,,
,Group ,Climate? ,
1,Extinction Rebellion,Y,
2,Just Stop Oil,Y,
3,FFF: Fridays for Future,Y,
4, Students (United Kingdom),N,
5,Farmers (United Kingdom),N,
6, Labour Group (United Kingdom),N,
7,Labour Group (United Kingdom),N,
8, FBU: Fire Brigades Union,N,
10,Health Workers (United Kingdom),N,
11, Government of the United Kingdom (2010-),N,
12, Labour Party (United Kingdom),N,
13, Unison The Public Service Union,N,
14,Protesters (Iran),N,
15, Women (United Kingdom),N,
16,Green Party (United Kingdom),Y,
17,Iranian Group (United Kingdom),N,
18,Government of the United Kingdom (2010-),N,
19," GMB: General, Municipal and Boilermakers Union",N,
20, CWU: Communication Workers Union,N,
21, Unite the Union (United Kingdom),N,
22,Greenpeace,Y,
23,Students (United Kingdom),N,
24,Ukrainian Group (Northern Ireland),N,
25,Friends of the Earth,Y,
26,Animal Rebellion,Y,"""animals and climate justice"" e.g. plant-based food. "
27," RMT: National Union of Rail, Maritime and Transport Workers",N,
28,Labour Group (Northern Ireland),N,
29, Unite the Union (Northern Ireland),N,
30,Chinese Group (United Kingdom),N,
31, Farmers (United Kingdom),N,
32, Iranian Group (United Kingdom),N,
33,ACORN Union,N,
34,Ukrainian Group (United Kingdom),N,
35,LD: Liberal Democrats,N,
36,Labour Party (United Kingdom),N,
37,Ocean Rebellion,Y,
38, UCU: University and College Union,N,
39, Teachers (United Kingdom),N,
40, EiE: Enough is Enough,N ,
41, ACORN Union,N,
42,"RMT: National Union of Rail, Maritime and Transport Workers",N ,
43, NIPSA: Northern Ireland Public Service Alliance,N,
44, Green Party (United Kingdom),Y,
45, Women (Iran),N,
46, Just Stop Oil,Y,
47, Extinction Rebellion,Y,
48,AUOB: All Under One Banner,N,
49, Plaid Cymru,N,
50, Welsh Group (United Kingdom),N,
51,Women (United Kingdom),N,
52,Lawyers (United Kingdom),N,
53,Unite the Union (Northern Ireland),N,
54, Labour Group (Northern Ireland),N,
55,UCU: University and College Union,N,
56,Refugees/IDPs (Iran),N,
57, Protesters (Iran),N,
58,LGBT (United Kingdom),N,
59,Antifa,N,
60,CWU: Communication Workers Union,N,
61,Welsh Group (United Kingdom),N,
62,SUTR: Stand Up To Racism,N,
63, BLM: Black Lives Matter,N,
64,SF: Sinn Fein,N,
65, PCS: Public and Commercial Services Union,N,
66, Private Security Forces (United Kingdom),N,
67,Journalists (Northern Ireland),N,
68, Protesters (United States),N,
69, Government of the United States (2021-),N,
70, Independent Politicians (United States),N,
71,Plaid Cymru,N,
72, North Sudanese Group (United Kingdom),N,
73,NIPSA: Northern Ireland Public Service Alliance,N,
74, Health Workers (Northern Ireland),N,
75,PA: Patriotic Alternative,N,
76,Shiite Muslim Group (United Kingdom),N,
77, PBP: People Before Profit (Northern Ireland),N,
78, SWP: Socialist Workers Party,N,
79, Conservative Party (United Kingdom),N,
80,"GMB: General, Municipal and Boilermakers Union",N,
81,Refugees/IDPs (Ukraine),N,
82, Protesters (Ukraine),N,
83,TUV: Traditional Unionist Voice,N,
84, Former Government of the United Kingdom (2010-),N,
85, Catholic Christian Group (Northern Ireland),N,
86, Protestant Christian Group (Northern Ireland),N,
87,LGBT (Northern Ireland),N,
88, Protesters (International),N,
89, Refugees/IDPs (International),N,
90, Police Forces of the United Kingdom (2010-) Police Service of Northern Ireland,N,
91, Police Forces of the United Kingdom (2010-),N,
92, Protesters (United Kingdom),N,
93, Police Forces of Ireland (2020-),N,
94, Protesters (Ireland),N,
95,BLM: Black Lives Matter,N,
96, SUTR: Stand Up To Racism,N,
97, SNP: Scottish National Party,N,
98, EIS: Educational Institute of Scotland,N,
99,Protesters (Ukraine),N,
100, SF: Sinn Fein,N,
101, SDLP: The Social Democratic and Labour Party,N,
102,Conservative Party (United Kingdom),N,
103,Insulate Britain,Y,
104, CND: Campaign for Nuclear Disarmament,N,
105,Romani Ethnic Group (United Kingdom),N,
106, Health Workers (United Kingdom),N,
107, Care4Calais,N,
108,Care4Calais,N,
109,OO: Orange Order,N,
110, Loyalist Group (Northern Ireland),N,
111,Teachers (United Kingdom),N,
112, NEU: National Education Union,N,
113,PA: Palestine Action,N,
