"date","hits","keyword","geo","time","gprop","category"
2017-11-12,0,"Extinction Rebellion","GB","today+5-y","web",0
2017-11-19,0,"Extinction Rebellion","GB","today+5-y","web",0
2017-11-26,0,"Extinction Rebellion","GB","today+5-y","web",0
2017-12-03,1,"Extinction Rebellion","GB","today+5-y","web",0
2017-12-10,0,"Extinction Rebellion","GB","today+5-y","web",0
2017-12-17,0,"Extinction Rebellion","GB","today+5-y","web",0
2017-12-24,0,"Extinction Rebellion","GB","today+5-y","web",0
2017-12-31,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-01-07,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-01-14,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-01-21,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-01-28,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-02-04,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-02-11,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-02-18,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-02-25,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-03-04,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-03-11,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-03-18,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-03-25,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-04-01,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-04-08,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-04-15,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-04-22,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-04-29,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-05-06,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-05-13,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-05-20,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-05-27,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-06-03,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-06-10,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-06-17,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-06-24,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-07-01,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-07-08,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-07-15,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-07-22,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-07-29,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-08-05,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-08-12,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-08-19,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-08-26,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-09-02,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-09-09,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-09-16,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-09-23,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-09-30,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-10-07,0,"Extinction Rebellion","GB","today+5-y","web",0
2018-10-14,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-10-21,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-10-28,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-11-04,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-11-11,5,"Extinction Rebellion","GB","today+5-y","web",0
2018-11-18,6,"Extinction Rebellion","GB","today+5-y","web",0
2018-11-25,2,"Extinction Rebellion","GB","today+5-y","web",0
2018-12-02,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-12-09,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-12-16,3,"Extinction Rebellion","GB","today+5-y","web",0
2018-12-23,1,"Extinction Rebellion","GB","today+5-y","web",0
2018-12-30,1,"Extinction Rebellion","GB","today+5-y","web",0
2019-01-06,1,"Extinction Rebellion","GB","today+5-y","web",0
2019-01-13,1,"Extinction Rebellion","GB","today+5-y","web",0
2019-01-20,1,"Extinction Rebellion","GB","today+5-y","web",0
2019-01-27,1,"Extinction Rebellion","GB","today+5-y","web",0
2019-02-03,1,"Extinction Rebellion","GB","today+5-y","web",0
2019-02-10,2,"Extinction Rebellion","GB","today+5-y","web",0
2019-02-17,2,"Extinction Rebellion","GB","today+5-y","web",0
2019-02-24,1,"Extinction Rebellion","GB","today+5-y","web",0
2019-03-03,2,"Extinction Rebellion","GB","today+5-y","web",0
2019-03-10,2,"Extinction Rebellion","GB","today+5-y","web",0
2019-03-17,1,"Extinction Rebellion","GB","today+5-y","web",0
2019-03-24,2,"Extinction Rebellion","GB","today+5-y","web",0
2019-03-31,4,"Extinction Rebellion","GB","today+5-y","web",0
2019-04-07,5,"Extinction Rebellion","GB","today+5-y","web",0
2019-04-14,71,"Extinction Rebellion","GB","today+5-y","web",0
2019-04-21,46,"Extinction Rebellion","GB","today+5-y","web",0
2019-04-28,12,"Extinction Rebellion","GB","today+5-y","web",0
2019-05-05,5,"Extinction Rebellion","GB","today+5-y","web",0
2019-05-12,4,"Extinction Rebellion","GB","today+5-y","web",0
2019-05-19,4,"Extinction Rebellion","GB","today+5-y","web",0
2019-05-26,5,"Extinction Rebellion","GB","today+5-y","web",0
2019-06-02,4,"Extinction Rebellion","GB","today+5-y","web",0
2019-06-09,7,"Extinction Rebellion","GB","today+5-y","web",0
2019-06-16,6,"Extinction Rebellion","GB","today+5-y","web",0
2019-06-23,3,"Extinction Rebellion","GB","today+5-y","web",0
2019-06-30,5,"Extinction Rebellion","GB","today+5-y","web",0
2019-07-07,6,"Extinction Rebellion","GB","today+5-y","web",0
2019-07-14,35,"Extinction Rebellion","GB","today+5-y","web",0
2019-07-21,5,"Extinction Rebellion","GB","today+5-y","web",0
2019-07-28,5,"Extinction Rebellion","GB","today+5-y","web",0
2019-08-04,4,"Extinction Rebellion","GB","today+5-y","web",0
2019-08-11,5,"Extinction Rebellion","GB","today+5-y","web",0
2019-08-18,5,"Extinction Rebellion","GB","today+5-y","web",0
2019-08-25,9,"Extinction Rebellion","GB","today+5-y","web",0
2019-09-01,6,"Extinction Rebellion","GB","today+5-y","web",0
2019-09-08,7,"Extinction Rebellion","GB","today+5-y","web",0
2019-09-15,13,"Extinction Rebellion","GB","today+5-y","web",0
2019-09-22,8,"Extinction Rebellion","GB","today+5-y","web",0
2019-09-29,17,"Extinction Rebellion","GB","today+5-y","web",0
2019-10-06,100,"Extinction Rebellion","GB","today+5-y","web",0
2019-10-13,90,"Extinction Rebellion","GB","today+5-y","web",0
2019-10-20,13,"Extinction Rebellion","GB","today+5-y","web",0
2019-10-27,6,"Extinction Rebellion","GB","today+5-y","web",0
2019-11-03,8,"Extinction Rebellion","GB","today+5-y","web",0
2019-11-10,6,"Extinction Rebellion","GB","today+5-y","web",0
2019-11-17,6,"Extinction Rebellion","GB","today+5-y","web",0
2019-11-24,5,"Extinction Rebellion","GB","today+5-y","web",0
2019-12-01,5,"Extinction Rebellion","GB","today+5-y","web",0
2019-12-08,5,"Extinction Rebellion","GB","today+5-y","web",0
2019-12-15,3,"Extinction Rebellion","GB","today+5-y","web",0
2019-12-22,3,"Extinction Rebellion","GB","today+5-y","web",0
2019-12-29,4,"Extinction Rebellion","GB","today+5-y","web",0
2020-01-05,5,"Extinction Rebellion","GB","today+5-y","web",0
2020-01-12,8,"Extinction Rebellion","GB","today+5-y","web",0
2020-01-19,5,"Extinction Rebellion","GB","today+5-y","web",0
2020-01-26,3,"Extinction Rebellion","GB","today+5-y","web",0
2020-02-02,5,"Extinction Rebellion","GB","today+5-y","web",0
2020-02-09,6,"Extinction Rebellion","GB","today+5-y","web",0
2020-02-16,15,"Extinction Rebellion","GB","today+5-y","web",0
2020-02-23,7,"Extinction Rebellion","GB","today+5-y","web",0
2020-03-01,3,"Extinction Rebellion","GB","today+5-y","web",0
2020-03-08,4,"Extinction Rebellion","GB","today+5-y","web",0
2020-03-15,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-03-22,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-03-29,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-04-05,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-04-12,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-04-19,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-04-26,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-05-03,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-05-10,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-05-17,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-05-24,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-05-31,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-06-07,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-06-14,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-06-21,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-06-28,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-07-05,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-07-12,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-07-19,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-07-26,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-08-02,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-08-09,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-08-16,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-08-23,8,"Extinction Rebellion","GB","today+5-y","web",0
2020-08-30,23,"Extinction Rebellion","GB","today+5-y","web",0
2020-09-06,17,"Extinction Rebellion","GB","today+5-y","web",0
2020-09-13,4,"Extinction Rebellion","GB","today+5-y","web",0
2020-09-20,4,"Extinction Rebellion","GB","today+5-y","web",0
2020-09-27,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-10-04,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-10-11,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-10-18,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-10-25,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-11-01,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-11-08,7,"Extinction Rebellion","GB","today+5-y","web",0
2020-11-15,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-11-22,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-11-29,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-12-06,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-12-13,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-12-20,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-12-27,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-01-03,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-01-10,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-01-17,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-01-24,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-01-31,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-02-07,1,"Extinction Rebellion","GB","today+5-y","web",0
