Twitter Handle,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
ExtinctionR,337738,346551,352290,354725,355385,355351,355591,355799,356681,359070,360191,362793,361400,359568,358453,358523,358887,358211,359359,362082,372430,375743,378305,383047,385082,387731,388273,389405,395597,398893,401937,416144,419748,422470,423301
JustStop_Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6298,15566,18214,20227,27166,30756,34129,90798
Fridays4future,68571,72854,75467,77773,80224,81275,82486,84500,86178,88887,90780,93370,94101,95767,98812,101423,104580,107784,109318,111816,115013,119909,123436,129116,130202,131387,133411,135175,136234,137176,137661,138920,139506,141115,140857
TheGreenParty,295264,296119,296309,296462,297475,298247,299067,299584,300222,301600,303719,305637,306703,307014,308189,309456,310353,313651,313934,314684,315657,316632,317630,318664,319113,320455,321364,321714,321814,323666,324411,326361,327490,328943,329209
GreenpeaceUK,196722,198083,199122,199482,199841,199998,200339,200726,201019,201659,202546,202947,202785,203001,203615,204055,204515,208593,209295,210024,210035,210835,211981,213741,214328,215368,217689,218082,220644,222487,227472,230820,232870,235722,244895
RebelsAnimal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8184,8437,8940,9724,9973,10513,10989,11046,11018,11015,11069,11172,11256,11719,12160,12395,14521,17093
friends_earth,199960,201090,202782,203211,203804,204107,204465,204951,205359,206129,207022,207576,207544,207769,208071,208418,208764,207967,207895,208192,208512,208800,209328,210006,210258,210681,211260,211571,211787,212373,213011,215056,215965,216759,216921
oceanrebellion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2639
InsulateLove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3212,7742,9341,9975,10562,11114,11448,12676,13442,13986,14900,15156,15414,17217
ClimateStrike,NA,NA,10579,10586,10566,10522,10484,10490,10475,10507,10524,10495,10479,10464,10459,10469,10467,10479,10464,10448,10462,10560,10607,10629,10609,10601,10590,10593,10544,10536,10522,10595,10642,10726,10662
StopCambo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,226"
StayGroundedNet,2432,2569,2651,2735,3141,3263,3337,3552,3600,3748,3871,3954,4088,4134,4273,4359,4479,4503,4611,4737,4946,5108,5215,5498,5581,5678,5740,5782,5791,6312,6446,7005,7252,7367,7514
UKSCN1,8220,8531,9020,9127,9225,9380,9487,9576,9669,9835,9862,9946,9963,10022,10105,10158,10183,10191,10239,10228,10234,10220,10242,10232,10207,10172,10161,10132,10098,10084,10051,10034,10013,9997,9914
COP26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68015,74906,80950,86659,96751,110231,159781,230476,233002,234610,235473,236005,236725,237508,238456,239484,240449,241738,245056
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IFAmedia,19970,20313,20573,20825,21162,21384,21543,21719,21903,22146,22342,22591,22779,22939,23109,23312,23445,23545,23696,23829,23950,24069,24307,24543,24664,24800,24970,25124,25204,25300,25399,25618,25696,25820,25905
GreenPartyNI,13178,13280,13321,13397,13442,13483,13606,13660,13652,13688,13736,13793,13822,13910,13942,14003,14100,14144,14178,14204,14209,14237,14279,14325,14364,14433,14538,14695,15012,15313,15332,15340,15401,15418,15383
scottishgreens,53756,54023,54261,54608,54725,54953,55230,55386,55698,55823,56047,56458,56724,57170,57672,59984,61762,65393,65585,65639,66827,67371,67732,68110,68265,68425,68582,68701,68683,69502,69943,70439,70638,70974,71301
